dept_no,dept_name,emp_no,first_name,last_name,title
d001,Marketing,10499,Maik,Luft,Senior Staff
d004,Production,10503,Dannz,Pell,Engineer
d007,Sales,10504,Xiong,Varker,Staff
d007,Sales,10509,Abdelwaheb,Riesenhuber,Senior Staff
d003,Human Resources,10512,Udi,Gihr,Senior Staff
d007,Sales,10517,Tiina,Speek,Senior Staff
d003,Human Resources,10522,Marke,Cesareni,Senior Staff
d004,Production,10529,Ymte,Yetto,Assistant Engineer
d003,Human Resources,10531,Oguz,Gimbel,Staff
d005,Development,10542,Yannis,Couchot,Senior Engineer
d001,Marketing,10548,Ramalingam,Gunderson,Senior Staff
d004,Production,10552,Kazuhito,Shiratori,Senior Engineer
d004,Production,10564,Jianhao,Thisen,Senior Engineer
d007,Sales,10568,Gao,Poulakidas,Staff
d004,Production,10586,Kirk,Vuskovic,Senior Engineer
d004,Production,10593,Falguni,Kenevan,Senior Engineer
d007,Sales,10596,Sanjit,Coors,Senior Staff
d007,Sales,10603,Wayne,Restivo,Staff
d005,Development,10610,Irena,Roccetti,Engineer
d004,Production,10614,Gila,Ozeri,Senior Engineer
d002,Finance,10615,Keung,Delgrande,Senior Staff
d005,Development,10623,Aleksander,Danlos,Senior Engineer
d004,Production,10624,Sham,Gyorkos,Technique Leader
d005,Development,10628,Krisda,Krogh,Senior Engineer
d004,Production,10630,Bezalel,Katzenelson,Engineer
d005,Development,10631,Inderjeet,Chaudhuri,Engineer
d005,Development,10634,Nahid,Chepyzhov,Senior Engineer
d003,Human Resources,10636,Saeko,Porotnikoff,Staff
d005,Development,10639,Pramod,Erol,Senior Engineer
d005,Development,10641,Guozhong,Zucker,Engineer
d005,Development,10642,Hirochika,Narlikar,Engineer
d005,Development,10653,Otmar,Feinberg,Senior Engineer
d009,Customer Service,10667,Makato,Cusworth,Senior Staff
d003,Human Resources,10671,Parviz,Rebaine,Senior Staff
d005,Development,10676,Valeri,Danley,Engineer
d004,Production,10683,Guiseppe,Stranks,Senior Engineer
d009,Customer Service,10693,Berhard,Daescu,Senior Staff
d005,Development,10696,Unal,Fendler,Technique Leader
d005,Development,10702,Bader,Szemeredi,Senior Engineer
d005,Development,10712,Uma,Koprowski,Senior Engineer
d005,Development,10718,Adib,Rullman,Senior Engineer
d005,Development,10726,Zita,Minakawa,Senior Engineer
d004,Production,10734,Sachar,Erdi,Engineer
d001,Marketing,10741,Sven,Huttel,Senior Staff
d005,Development,10742,Shim,Wiegley,Technique Leader
d004,Production,10745,Poorav,Ranze,Senior Engineer
d004,Production,10749,King,Brendel,Senior Engineer
d005,Development,10750,Roddy,Demeyer,Technique Leader
d005,Development,10764,Yunming,Beetstra,Senior Engineer
d007,Sales,10767,Monique,Doering,Staff
d004,Production,10768,Ishfaq,Candan,Senior Engineer
d001,Marketing,10778,Selwyn,Merey,Senior Staff
d005,Development,10791,Tadahiko,Sgarro,Senior Engineer
d007,Sales,10795,Supot,Naudin,Senior Staff
d005,Development,10808,Chenxi,Leijenhorst,Senior Engineer
d004,Production,10811,Ashish,Fortenbacher,Engineer
d007,Sales,10813,Shalesh,Shumilov,Senior Staff
d007,Sales,10814,Nidapan,Dymetman,Senior Staff
d005,Development,10826,Arnd,Anandan,Senior Engineer
d002,Finance,10827,Willard,Danley,Staff
d001,Marketing,10830,Fen,Fiebach,Senior Staff
d005,Development,10831,Toong,Driscoll,Technique Leader
d006,Quality Management,10833,Krisda,Gecseg,Technique Leader
d004,Production,10834,Huiqun,Rajcani,Engineer
d004,Production,10835,Tomoyuki,Kermarrec,Engineer
d007,Sales,10836,Jianhua,Leivant,Senior Staff
d005,Development,10844,Dipayan,Koprowski,Engineer
d008,Research,10846,Tokuyasu,Serre,Senior Engineer
d008,Research,10847,Theirry,Danley,Senior Staff
d004,Production,10848,Fen,Bratsberg,Senior Engineer
d005,Development,10849,Makato,Mayerwieser,Engineer
d005,Development,10854,Jagoda,Nannarelli,Engineer
d005,Development,10858,Kenroku,Gonthier,Senior Engineer
d009,Customer Service,10871,Aram,Gilg,Staff
d002,Finance,10872,Karoline,Speel,Senior Staff
d002,Finance,10873,Sukumar,Wegerle,Staff
d007,Sales,10878,Lakshmi,Deville,Staff
d005,Development,10879,Muzhong,Chleq,Senior Engineer
d005,Development,10882,Fun,Heuser,Engineer
d004,Production,10883,Shimshon,Champarnaud,Engineer
d001,Marketing,10885,Rayond,Cronau,Senior Staff
d005,Development,10887,Lunjin,DeMori,Senior Engineer
d005,Development,10900,Ferdinand,Prenel,Senior Engineer
d002,Finance,10906,Munehiro,Carrere,Staff
d005,Development,10909,Georgi,Atchley,Senior Engineer
d002,Finance,10913,Narain,Thummel,Staff
d003,Human Resources,10920,Ronghao,Narahara,Senior Staff
d004,Production,10921,Mara,Bahi,Senior Engineer
d007,Sales,10924,Hironoby,Atchley,Senior Staff
d009,Customer Service,10926,Leni,Eppinger,Senior Engineer
d001,Marketing,10927,Gal,Scallan,Senior Staff
d004,Production,10930,Arch,Minakawa,Senior Engineer
d005,Development,10932,Avishai,Picci,Senior Engineer
d003,Human Resources,10936,Mountaz,Schicker,Senior Staff
d005,Development,10942,Toshimitsu,Larfeldt,Engineer
d005,Development,10943,Berna,Skafidas,Senior Engineer
d004,Production,10944,Remko,Zyda,Senior Engineer
d009,Customer Service,10947,Gor,Usery,Senior Staff
d002,Finance,10949,Shigeichiro,Wroclawski,Senior Staff
d005,Development,10956,Arno,Picel,Engineer
d007,Sales,10965,Eckart,Braunschweig,Senior Staff
d005,Development,10969,Premal,Noriega,Senior Engineer
d005,Development,10974,Muneo,Papsdorf,Senior Engineer
d005,Development,10986,Masako,Schiper,Technique Leader
d005,Development,10987,Flemming,Baezner,Engineer
d005,Development,10988,Chinya,Deyuan,Senior Engineer
d002,Finance,10989,Sumali,Candan,Senior Staff
d005,Development,10990,Shin,Foote,Technique Leader
d007,Sales,10996,Matk,Rahimi,Senior Staff
d004,Production,11004,JoAnna,Decleir,Senior Engineer
d007,Sales,11009,Alper,Axelband,Senior Staff
d009,Customer Service,11012,Taegyun,Speckmann,Staff
d005,Development,11019,Leon,Huttel,Senior Engineer
d008,Research,11021,Srinidhi,Henders,Staff
d004,Production,11027,Remzi,Cappello,Senior Engineer
d001,Marketing,11031,Ottavia,Walstra,Senior Staff
d005,Development,11032,Erez,Schaaf,Staff
d004,Production,11037,Lansing,Maliniak,Senior Engineer
d008,Research,11038,Jinya,Beidas,Senior Staff
d005,Development,11042,Gou,Breugel,Senior Engineer
d007,Sales,11048,Jaques,Demke,Senior Staff
d001,Marketing,11050,Elvis,Katiyar,Senior Staff
d004,Production,11051,Przemyslawa,Erol,Senior Engineer
d007,Sales,11056,Palash,Speel,Staff
d002,Finance,11061,Pintsang,Erni,Senior Staff
d004,Production,11064,Shawna,Vieri,Senior Engineer
d002,Finance,11066,Shaz,Langford,Senior Staff
d006,Quality Management,11070,Adib,Raney,Senior Engineer
d005,Development,11071,Kwan,Sigstam,Senior Engineer
d004,Production,11075,Karsten,Belinskaya,Senior Engineer
d005,Development,11079,Piyush,Garigliano,Senior Engineer
d002,Finance,11081,Barry,Boyle,Senior Staff
d002,Finance,11083,Shimshon,Ducloy,Senior Staff
d004,Production,11084,Greger,Senzako,Senior Engineer
d004,Production,11085,Hailing,Thummel,Senior Engineer
d004,Production,11087,Changho,Jayawardene,Senior Engineer
d007,Sales,11089,Conal,Henders,Senior Staff
d004,Production,11091,Souichi,Ramsay,Engineer
d001,Marketing,11092,Narain,Stamatiou,Staff
d005,Development,11098,Arnd,Covnot,Engineer
d008,Research,11100,Berna,Cochrane,Senior Staff
d005,Development,11106,Aris,Iwayama,Senior Engineer
d004,Production,11111,Udi,Zastre,Assistant Engineer
d009,Customer Service,11112,Boaz,Mukaidono,Staff
d001,Marketing,11113,Shahab,Peng,Senior Staff
d005,Development,11121,Vugranam,Kakkad,Senior Engineer
d003,Human Resources,11130,Xinyu,Menhoudj,Senior Staff
d004,Production,11132,Kristin,Harnett,Senior Engineer
d006,Quality Management,11133,Nalini,Azulay,Technique Leader
d006,Quality Management,11134,Sachar,Rajcani,Senior Engineer
d005,Development,11137,Hugh,Luca,Engineer
d009,Customer Service,11139,Bogdan,Homond,Senior Staff
d005,Development,11143,Yongdong,Rosen,Engineer
d007,Sales,11144,Carrsten,Heinisuo,Senior Staff
d007,Sales,11146,Ishfaq,Masand,Senior Staff
d005,Development,11147,Ayonca,Nitsch,Engineer
d002,Finance,11148,Zhanqiu,Botman,Senior Staff
d004,Production,11158,Masaki,Hagimont,Senior Engineer
d005,Development,11162,Kauko,Narlikar,Senior Engineer
d007,Sales,11168,Shmuel,Tetzlaff,Senior Staff
d005,Development,11170,Minghong,Cannard,Senior Engineer
d004,Production,11174,Akhilish,Milicia,Engineer
d005,Development,11177,Chrisa,dAstous,Senior Engineer
d005,Development,11180,Mitsuyuki,Bojadziev,Senior Engineer
d005,Development,11181,Hausi,Cullers,Engineer
d009,Customer Service,11185,Aloys,Baezner,Senior Staff
d004,Production,11186,Kshitij,Stasinski,Senior Engineer
d007,Sales,11189,Dante,Bodoff,Senior Staff
d006,Quality Management,11192,Apostol,Bahr,Engineer
d007,Sales,11197,Tadahiro,Fordan,Senior Staff
d008,Research,11201,Jouko,Masaki,Staff
d004,Production,11204,Diederik,Covnot,Technique Leader
d005,Development,11207,Saeed,Gips,Engineer
d004,Production,11208,Saniya,Valtorta,Technique Leader
d004,Production,11211,Yurij,Rissland,Senior Engineer
d004,Production,11213,Vugranam,Munoz,Technique Leader
d004,Production,11217,Kellie,Mawatari,Senior Engineer
d004,Production,11229,Gretta,Ramamoorthy,Senior Engineer
d009,Customer Service,11232,Hidefumi,Crelier,Senior Staff
d005,Development,11233,Sanjit,Waschkowski,Senior Engineer
d005,Development,11240,Kiam,Condotta,Engineer
d004,Production,11243,Udi,Desikan,Assistant Engineer
d005,Development,11249,Randi,Cyre,Engineer
d001,Marketing,11251,Bezalel,Chinal,Senior Staff
d005,Development,11253,Koldo,Pokrovskii,Senior Engineer
d007,Sales,11254,Danel,Rindone,Staff
d009,Customer Service,11258,Aris,Maccarone,Senior Staff
d006,Quality Management,11266,Florina,Rohrbach,Senior Engineer
d005,Development,11267,Shaunak,Zaumen,Senior Engineer
d004,Production,11268,Aimee,Petersohn,Senior Engineer
d009,Customer Service,11274,Masanao,Nicolson,Staff
d005,Development,11275,Hitomi,Eppinger,Senior Engineer
d005,Development,11289,Chuanti,Cherinka,Senior Engineer
d005,Development,11290,Visit,Dredge,Engineer
d005,Development,11292,Souichi,Sichman,Senior Engineer
d005,Development,11294,Tru,Segond,Senior Engineer
d002,Finance,11295,Abdelkader,Lanzelotte,Senior Staff
d004,Production,11296,Hironobu,Kenevan,Senior Engineer
d003,Human Resources,11301,Mingzeng,Oxenboll,Senior Staff
d005,Development,11317,Shigeaki,Hagimont,Senior Staff
d005,Development,11319,Pranas,Marrakchi,Assistant Engineer
d001,Marketing,11320,Atilio,McAlpine,Senior Staff
d006,Quality Management,11322,Nathalie,Pocchiola,Senior Engineer
d004,Production,11324,Kauko,Billingsley,Senior Engineer
d005,Development,11325,Samphel,Rossi,Engineer
d005,Development,11326,Munenori,Plesums,Senior Engineer
d007,Sales,11338,Kwangsub,Hanratty,Senior Staff
d004,Production,11339,Flemming,Massonet,Senior Engineer
d004,Production,11340,Aris,Bala,Senior Engineer
d005,Development,11343,Susanne,Erez,Senior Engineer
d005,Development,11347,Anneli,Jonsson,Senior Engineer
d004,Production,11349,Yurii,Hammerschmidt,Engineer
d007,Sales,11360,Fen,Schach,Senior Staff
d004,Production,11365,Toshimi,Shinomoto,Engineer
d009,Customer Service,11373,Yongmao,Keohane,Senior Staff
d008,Research,11376,Valery,Suomi,Senior Staff
d005,Development,11380,Kenroku,Pelc,Senior Engineer
d004,Production,11385,Shiv,Ullian,Engineer
d006,Quality Management,11386,Alselm,Assaf,Senior Engineer
d004,Production,11393,Junsik,Junot,Senior Engineer
d005,Development,11396,Anneke,Servieres,Engineer
d002,Finance,11398,Oscar,Peir,Senior Staff
d007,Sales,11401,Huan,Merey,Staff
d005,Development,11404,Bedrich,Borovoy,Technique Leader
d008,Research,11406,Eberhardt,Gini,Senior Staff
d005,Development,11410,Gro,Vendrig,Engineer
d004,Production,11415,Sanjiv,Anido,Engineer
d006,Quality Management,11417,Anneli,Cyne,Technique Leader
d001,Marketing,11418,Satosi,Cooley,Senior Staff
d003,Human Resources,11420,Tsutomu,Lalonde,Senior Staff
d004,Production,11421,Josyula,Msuda,Senior Engineer
d009,Customer Service,11423,Guangming,Kopetz,Staff
d005,Development,11425,Renee,Crelier,Senior Engineer
d007,Sales,11441,Marlo,Aingworth,Senior Staff
d006,Quality Management,11446,Naftali,Narahara,Senior Engineer
d004,Production,11449,Kotesh,Asser,Senior Engineer
d004,Production,11451,Eben,Rajaraman,Senior Engineer
d009,Customer Service,11452,Shigehito,Luby,Senior Staff
d003,Human Resources,11459,Duke,Suomi,Senior Staff
d004,Production,11460,Mana,Maraist,Senior Engineer
d004,Production,11469,Guttorm,Giaccio,Senior Engineer
d004,Production,11474,Gennady,Akazan,Engineer
d001,Marketing,11476,Manton,Yoshizawa,Staff
d002,Finance,11479,Shridhar,Pleszkun,Staff
d005,Development,11503,Nathan,Picht,Senior Engineer
d007,Sales,11506,Rance,Picel,Staff
d005,Development,11509,Aleksander,Feldhoffer,Senior Engineer
d002,Finance,11513,Otmar,Mahnke,Senior Staff
d007,Sales,11515,Ulf,Basawa,Staff
d003,Human Resources,11518,Jinxi,Oxman,Senior Staff
d007,Sales,11519,Halsur,Chinen,Senior Staff
d005,Development,11523,Yuguang,Pezzoli,Engineer
d005,Development,11524,Xiadong,Standera,Senior Engineer
d001,Marketing,11527,Alagu,Boyle,Staff
d004,Production,11528,Zito,Dolinsky,Technique Leader
d004,Production,11531,Radhika,Motley,Technique Leader
d005,Development,11533,Vitaly,Lorch,Technique Leader
d007,Sales,11537,DAIDA,Pehl,Senior Staff
d004,Production,11540,Chanjung,Portugali,Senior Engineer
d001,Marketing,11554,Subhash,Taubenfeld,Staff
d003,Human Resources,11555,Kotesh,Perfilyeva,Senior Staff
d007,Sales,11567,Teiji,Mitzlaff,Senior Staff
d005,Development,11568,Martins,Fujisaki,Senior Engineer
d005,Development,11573,Pranas,Hutton,Senior Engineer
d005,Development,11575,Godehard,Plotkin,Engineer
d006,Quality Management,11577,Mayumi,Deyuan,Senior Engineer
d005,Development,11581,Patricio,Rosenbaum,Senior Engineer
d005,Development,11587,Shem,Zambonelli,Senior Engineer
d005,Development,11589,Gina,Plessier,Senior Engineer
d001,Marketing,11595,Takanari,Kamber,Senior Staff
d002,Finance,11596,Yannik,Gunderson,Staff
d001,Marketing,11602,Somnath,Malabarba,Senior Staff
d002,Finance,11603,Herb,Swen,Senior Staff
d009,Customer Service,11606,Perry,Pepe,Senior Staff
d004,Production,11607,Tomokazu,Foong,Engineer
d007,Sales,11615,Shem,Isaak,Senior Staff
d004,Production,11616,Zhilian,Brendel,Engineer
d004,Production,11624,Adil,Gammage,Senior Engineer
d005,Development,11628,Fan,Malinowski,Senior Engineer
d005,Development,11640,Valeri,Coorg,Senior Engineer
d005,Development,11641,Chikako,Rothenberg,Senior Engineer
d004,Production,11644,Sanjit,Zaiane,Assistant Engineer
d005,Development,11646,Lobel,Rubsam,Engineer
d005,Development,11647,Magy,Nitsche,Senior Engineer
d005,Development,11649,Shen,Bernardinello,Technique Leader
d007,Sales,11660,Gill,Stenning,Senior Staff
d007,Sales,11664,Oksana,Brizzi,Senior Staff
d001,Marketing,11667,Kristian,Marchegay,Senior Staff
d004,Production,11673,Henk,Felder,Technique Leader
d004,Production,11676,Valeri,Ferriere,Engineer
d004,Production,11681,Fumitake,Benzmuller,Senior Engineer
d001,Marketing,11684,Oksana,Gide,Senior Staff
d003,Human Resources,11690,Domenick,Raczkowsky,Staff
d005,Development,11693,Hideo,Coorg,Senior Engineer
d007,Sales,11696,Dante,Rothe,Senior Staff
d004,Production,11713,Danel,Heusch,Senior Engineer
d004,Production,11732,Sanjoy,Ranft,Senior Engineer
d005,Development,11733,Leszek,Sudbeck,Senior Engineer
d009,Customer Service,11735,Amalendu,Picci,Senior Staff
d004,Production,11736,Shugo,Uchoa,Senior Engineer
d006,Quality Management,11737,Martina,Garnier,Assistant Engineer
d007,Sales,11746,Koichi,Marrakchi,Senior Staff
d005,Development,11748,Lihong,Massonet,Engineer
d008,Research,11751,Jiafu,Emiris,Senior Staff
d005,Development,11756,Abdelwaheb,Vakili,Engineer
d005,Development,11763,Yuriy,Liesche,Engineer
d004,Production,11764,Sanjay,Anick,Senior Engineer
d003,Human Resources,11765,Zorica,Junet,Senior Staff
d005,Development,11769,Chandrasekaran,Lampe,Senior Staff
d005,Development,11770,Arumugam,Jakobus,Senior Engineer
d005,Development,11772,Gaurav,Penz,Engineer
d004,Production,11774,Aron,Wroclawski,Engineer
d004,Production,11778,Dhritiman,Fontan,Senior Engineer
d008,Research,11779,Shunichi,Thombley,Staff
d005,Development,11791,Gal,Mamelak,Senior Engineer
d001,Marketing,11797,Chenxi,Thambidurai,Senior Staff
d007,Sales,11801,Tommaso,Dayang,Senior Staff
d004,Production,11807,Chriss,Binding,Technique Leader
d005,Development,11810,Amabile,Bhattacharjee,Senior Engineer
d007,Sales,11811,Herb,Boissier,Senior Staff
d007,Sales,11817,Niranjan,Markovitch,Senior Staff
d009,Customer Service,11822,Sastry,Madeira,Staff
d005,Development,11823,Weiyi,Iacovou,Senior Engineer
d004,Production,11829,Chaosheng,Pettis,Assistant Engineer
d005,Development,11832,Arto,Zlotek,Engineer
d008,Research,11836,Ortrud,Bakhtari,Senior Staff
d001,Marketing,11841,Elvia,Bugrara,Staff
d008,Research,11842,Moto,Piazza,Senior Staff
d005,Development,11844,Shawna,Demeyer,Senior Engineer
d004,Production,11846,Fai,Perly,Senior Engineer
d001,Marketing,11853,Zeljko,Kusakabe,Senior Staff
d007,Sales,11857,Divier,Farrag,Senior Staff
d004,Production,11862,Alejandra,Deville,Senior Engineer
d009,Customer Service,11864,Pradeep,Kriebel,Staff
d006,Quality Management,11868,Kwee,Demke,Engineer
d004,Production,11869,Fumino,Luca,Engineer
d005,Development,11871,Nalini,Sommen,Senior Engineer
d001,Marketing,11872,Cheong,Riexinger,Senior Staff
d005,Development,11876,Leszek,Kobuchi,Senior Engineer
d007,Sales,11881,Arra,Staelin,Senior Staff
d001,Marketing,11888,Badri,Azulay,Senior Staff
d005,Development,11894,Mitchel,Validov,Senior Engineer
d004,Production,11896,Shaunak,Benzmuller,Technique Leader
d007,Sales,11897,Cordelia,Setlzner,Senior Staff
d005,Development,11906,Hideo,Boguraev,Engineer
d005,Development,11911,Ashish,Mondadori,Senior Engineer
d004,Production,11915,Miomir,Mawatari,Senior Engineer
d004,Production,11917,Jiakeng,VanScheik,Engineer
d004,Production,11926,Leni,Felcyn,Engineer
d008,Research,11931,Gunilla,Chiodo,Senior Staff
d005,Development,11933,Basil,Erman,Senior Engineer
d004,Production,11938,Aruna,Verspoor,Staff
d005,Development,11940,Ult,Anido,Assistant Engineer
d006,Quality Management,11944,Along,Aumann,Senior Engineer
d003,Human Resources,11945,Limsoon,Marakhovsky,Staff
d004,Production,11948,Yahiko,Nergos,Senior Engineer
d004,Production,11949,Martijn,Harbusch,Technique Leader
d005,Development,11951,Bernt,Haumacher,Senior Engineer
d004,Production,11965,Arup,Morrey,Engineer
d001,Marketing,11972,Sibyl,Beausoleil,Senior Staff
d007,Sales,11980,Yechezkel,Pews,Staff
d005,Development,11983,Jaana,Hedayat,Senior Engineer
d004,Production,11989,Erzsebet,Peltason,Technique Leader
d003,Human Resources,11993,Marit,Dalphin,Senior Staff
d001,Marketing,11994,Sigeru,Fiebach,Senior Staff
d005,Development,12007,Marko,Dehkordi,Senior Engineer
d007,Sales,12011,Zhilian,Coorg,Senior Staff
d008,Research,12015,Kensei,Guenter,Staff
d004,Production,12021,Chikara,Rahimi,Senior Engineer
d006,Quality Management,12023,Chuanyi,Eppinger,Technique Leader
d003,Human Resources,12024,Mayumi,Lanzelotte,Staff
d005,Development,12028,Ingemar,Walstra,Senior Engineer
d003,Human Resources,12030,Shuky,Cromarty,Staff
d007,Sales,12034,Aemilian,Piazza,Staff
d001,Marketing,12036,Mads,Ratzlaff,Senior Staff
d009,Customer Service,12037,Arunas,Katzenelson,Senior Staff
d001,Marketing,12040,Bluma,Kermarrec,Senior Staff
d008,Research,12043,Masaki,Lubachevsky,Staff
d004,Production,12044,Rance,Hemaspaandra,Senior Engineer
d006,Quality Management,12047,Jordanka,Ligten,Assistant Engineer
d004,Production,12050,Yuchang,Tchuente,Engineer
d004,Production,12053,Yechezkel,Pelc,Senior Engineer
d007,Sales,12054,Odysseas,Braccini,Staff
d006,Quality Management,12060,Toshimi,Antonakopoulos,Technique Leader
d003,Human Resources,12062,Margareta,Worfolk,Senior Staff
d004,Production,12063,Lein,Bale,Senior Engineer
d005,Development,12069,Ayonca,Burnard,Senior Engineer
d005,Development,12070,Ger,Shokrollahi,Technique Leader
d007,Sales,12076,Karlis,Siprelle,Senior Staff
d007,Sales,12080,Panayotis,Feinberg,Senior Staff
d007,Sales,12082,Xinan,Yamaashi,Senior Staff
d003,Human Resources,12089,Bilhanan,Socorro,Senior Staff
d004,Production,12090,Shigenori,Angelopoulos,Engineer
d006,Quality Management,12091,Lansing,Cunliffe,Senior Engineer
d008,Research,12092,Kauko,Unno,Senior Staff
d005,Development,12093,Evgueni,Oxenboll,Senior Engineer
